,H,RBI,AVG,OBP,SLG,OPS,ISO,XBH+
4,168,109,0.281,0.378,0.507,0.885,0.226,0.0573065902578796
66,178,121,0.302,0.393,0.54,0.933,0.238,0.12372634643377
127,200,84,0.314,0.367,0.52,0.887,0.206,0.1242857142857142
241,160,119,0.29,0.39,0.547,0.937,0.257,0.121765601217656
305,178,137,0.287,0.328,0.568,0.896,0.282,0.093655589123867
342,157,76,0.29,0.377,0.483,0.86,0.194,0.0632911392405063
399,158,125,0.291,0.388,0.635,1.023,0.344,0.1125
448,156,114,0.301,0.406,0.565,0.97,0.264,0.143317230273752
507,187,86,0.319,0.363,0.517,0.88,0.198,0.1366459627329192
557,147,103,0.311,0.456,0.624,1.08,0.313,0.1879084967320261
604,181,123,0.336,0.458,0.677,1.136,0.341,0.2047477744807121
676,147,116,0.368,0.451,0.75,1.201,0.383,0.2338204592901878
753,158,66,0.319,0.394,0.492,0.886,0.173,0.1746031746031746
811,178,130,0.326,0.408,0.621,1.028,0.295,0.1392801251956181
868,208,130,0.366,0.452,0.72,1.172,0.354,0.2289156626506024
934,198,158,0.308,0.377,0.647,1.024,0.339,0.0678670360110803
1002,181,110,0.319,0.441,0.633,1.074,0.314,0.1554921540656205
1078,196,125,0.334,0.424,0.596,1.021,0.262,0.1266187050359712
1146,156,137,0.328,0.515,0.863,1.379,0.536,0.2153614457831325
1220,149,110,0.37,0.582,0.799,1.381,0.429,0.2434640522875817
1296,133,90,0.341,0.529,0.749,1.278,0.408,0.22
1365,135,101,0.362,0.609,0.812,1.422,0.45,0.2641815235008103
1444,195,117,0.33,0.43,0.609,1.039,0.279,0.2071428571428571
1512,182,149,0.313,0.425,0.659,1.084,0.346,0.0099431818181818
1583,212,94,0.296,0.344,0.531,0.875,0.235,0.1825192802056555
1652,187,116,0.357,0.462,0.653,1.114,0.296,0.1981279251170047
1722,186,135,0.327,0.443,0.658,1.101,0.331,0.2185714285714285
1792,177,113,0.324,0.424,0.6,1.024,0.276,0.0864197530864197
1862,187,111,0.332,0.397,0.597,0.994,0.265,0.1478537360890302
1923,178,103,0.336,0.408,0.549,0.957,0.213,0.0754098360655737
2102,172,99,0.33,0.46,0.649,1.109,0.319,0.1039755351681957
2165,176,102,0.292,0.385,0.554,0.939,0.262,0.0629470672389127
2231,168,132,0.281,0.376,0.631,1.007,0.35,0.0736994219653179
2293,187,110,0.326,0.402,0.598,1.0,0.272,0.0921658986175115
2355,170,115,0.305,0.406,0.629,1.035,0.324,0.1469696969696969
2424,151,84,0.309,0.429,0.615,1.044,0.305,0.0751252086811352
2473,210,114,0.331,0.379,0.578,0.957,0.247,0.2173295454545454
2547,211,102,0.318,0.371,0.517,0.888,0.199,0.1377410468319559
2681,211,145,0.324,0.371,0.567,0.939,0.244,0.2090784044016506
2829,188,134,0.308,0.352,0.605,0.957,0.297,0.1784107946026986
2903,187,124,0.307,0.391,0.569,0.959,0.262,0.0964539007092198
2977,195,103,0.318,0.384,0.511,0.896,0.194,0.1420289855072463
3035,159,61,0.325,0.439,0.577,1.016,0.252,0.207070707070707
3101,210,114,0.323,0.374,0.566,0.94,0.243,0.1924686192468619
3244,174,128,0.317,0.426,0.607,1.033,0.29,0.1908284023668639
3311,141,101,0.353,0.487,0.729,1.217,0.376,0.2282398452611218
3403,165,126,0.3,0.388,0.575,0.963,0.275,0.0283018867924528
3492,170,144,0.314,0.368,0.643,1.011,0.329,0.1503378378378378
3623,193,157,0.318,0.366,0.63,0.997,0.312,0.1210762331838565
3686,199,113,0.332,0.356,0.558,0.914,0.227,0.1857142857142857
3764,170,137,0.333,0.476,0.647,1.123,0.314,0.1280120481927711
3843,242,69,0.35,0.381,0.457,0.838,0.107,0.1680216802168021
3931,204,131,0.308,0.354,0.508,0.861,0.199,0.123076923076923
3979,181,118,0.298,0.396,0.6,0.995,0.301,0.1132867132867132
4059,206,126,0.337,0.391,0.598,0.989,0.261,0.1911764705882352
4131,194,130,0.321,0.421,0.61,1.031,0.289,0.0881118881118881
4232,190,130,0.321,0.375,0.559,0.934,0.238,0.1149773071104387
4287,183,156,0.314,0.422,0.645,1.067,0.331,0.1525423728813559
4369,213,83,0.326,0.376,0.493,0.869,0.167,0.1914600550964187
4437,191,96,0.365,0.444,0.587,1.031,0.222,0.1485148514851485
4506,186,100,0.359,0.411,0.633,1.044,0.274,0.1313485113835376
4646,205,139,0.33,0.393,0.606,0.999,0.277,0.1362984218077474
4725,193,137,0.348,0.442,0.636,1.078,0.288,0.1226993865030674
4795,173,111,0.287,0.377,0.561,0.939,0.274,0.0212765957446808
4868,184,123,0.297,0.371,0.568,0.939,0.271,0.1026722925457102
4934,173,100,0.315,0.441,0.55,0.991,0.235,0.0763582966226138
5009,204,81,0.346,0.41,0.547,0.957,0.202,0.1435045317220543
5081,180,80,0.346,0.438,0.64,1.078,0.294,0.1986970684039088
5148,137,104,0.291,0.438,0.645,1.083,0.353,0.1066666666666666
5218,138,100,0.257,0.372,0.592,0.965,0.335,-0.0093896713615023
